# Constructed from biom file
#OTU ID	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.0	0.0	0.0	0.0	0.0	0.006298671552908841	0.0061584940739019284	0.004700217814971913	0.008287292817679558	0.00875979714153988
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other;Other	0.00010789814415192059	0.00032085561497326203	0.0	0.0004385003288752467	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other	0.00021579628830384117	0.000106951871657754	0.0011559208836372978	0.00021925016443762334	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__	0.1593655589123866	0.2241711229946526	0.38736193167223243	0.6348388511291383	0.046880051729712276	0.0	0.0	0.00011463945890175398	0.0005755064456721916	0.0001152604887044721
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__	0.0	0.000106951871657754	0.00012843565373747752	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0014026758739749676	0.00032085561497326203	0.0010274852298998202	0.0005481254110940583	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.0	0.0	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__	0.0	0.0	0.0	0.0	0.0	0.005038937242327073	0.0024401580292818963	0.006419809698498223	0.004488950276243094	0.008298755186721992
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0004580852038479157	0.0006971880083662561	0.005158775650578929	0.0003453038674033149	0.0004610419548178884
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	0.0	0.0	0.0	0.0	0.0	0.0035501603298213466	0.00023239600278875203	0.0008024762123122779	0.0017265193370165745	0.009220839096357769
